Arnold Schwarzenegger	Expendables 2, The (2012)	$92,000,000 (estimated)	$85,017,401 (USA) (18 November 2012);;$84,956,224 (USA) (11 November 2012);;$84,855,313 (USA) (4 November 2012);;$84,705,404 (USA) (28 October 2012);;$84,573,293 (USA) (21 October 2012);;$84,501,958 (USA) (14 October 2012);;$84,370,358 (USA) (7 October 2012);;$84,025,347 (USA) (30 September 2012);;$83,019,805 (USA) (23 September 2012);;$80,405,980 (USA) (16 September 2012);;$75,619,038 (USA) (9 September 2012);;$68,814,085 (USA) (2 September 2012);;$52,313,944 (USA) (26 August 2012);;$28,591,370 (USA) (19 August 2012);;$312,573,423 (Worldwide) ( November 2012);;$268,993,000 (Worldwide) (23 September 2012);;PHP 94,314,276 (Philippines) (9 September 2012);;PHP 89,422,526 (Philippines) (2 September 2012);;PHP 74,728,946 (Philippines) (26 August 2012);;PHP 40,632,167 (Philippines) (19 August 2012)	Spain::8 August 2012 (Madrid)
Arnold Schwarzenegger	Expendables, The (2010)	$80,000,000 (estimated)	$103,068,524 (USA) (21 October 2010);;$102,981,571 (USA) (17 October 2010);;$102,734,893 (USA) (10 October 2010);;$102,516,720 (USA) (4 October 2010);;$102,070,047 (USA) (26 September 2010);;$101,020,533 (USA) (19 September 2010);;$98,466,264 (USA) (12 September 2010);;$93,885,594 (USA) (5 September 2010);;$82,040,183 (USA) (29 August 2010);;$65,357,117 (USA) (22 August 2010);;$34,825,135 (USA) (15 August 2010);;$13,300,000 (USA) (13 August 2010);;£9,243,382 (UK) (12 September 2010);;£8,447,678 (UK) (5 September 2010);;£6,816,414 (UK) (29 August 2010);;£3,910,596 (UK) (22 August 2010);;$266,159,621 (Worldwide) (21 November 2010);;$274,470,394 (Worldwide) (21 October 2010);;$163,091,097 (Non-USA) (21 November 2010);;$13,547,449 (France) (26 September 2010);;PHP 72,941,940 (Philippines) (26 September 2010);;PHP 72,144,768 (Philippines) (12 September 2010);;PHP 70,502,839 (Philippines) (5 September 2010);;PHP 66,520,872 (Philippines) (29 August 2010);;PHP 54,081,766 (Philippines) (22 August 2010);;PHP 22,160,785 (Philippines) (15 August 2010);;RUR 425,004,716 (Russia) (12 September 2010);;RUR 417,630,888 (Russia) (5 September 2010);;RUR 393,699,089 (Russia) (29 August 2010);;RUR 326,496,283 (Russia) (22 August 2010);;RUR 173,294,754 (Russia) (15 August 2010)	USA::3 August 2010 (Los Angeles, California)
Arnold Schwarzenegger	Kid & I, The (2005)	$5,000,000 (estimated)	U	USA::2 December 2005 (limited)
Arnold Schwarzenegger	Around the World in 80 Days (2004)	$110,000,000 (estimated)	$24,004,159 (USA) (12 September 2004);;$23,976,128 (USA) (5 September 2004);;$23,904,717 (USA) (29 August 2004);;$23,775,251 (USA) (22 August 2004);;$23,519,011 (USA) (15 August 2004);;$23,172,673 (USA) (8 August 2004);;$22,941,725 (USA) (1 August 2004);;$22,804,073 (USA) (25 July 2004);;$22,626,931 (USA) (18 July 2004);;$22,271,008 (USA) (11 July 2004);;$21,473,814 (USA) (4 July 2004);;$18,281,896 (USA) (27 June 2004);;$10,362,264 (USA) (20 June 2004);;£3,971,126 (UK) (1 August 2004);;£3,563,635 (UK) (25 July 2004);;£2,746,749 (UK) (18 July 2004);;£1,631,963 (UK) (11 July 2004);;$48,170,758 (Worldwide) (except USA);;$72,178,895 (Worldwide);;€1,478,783 (Italy) (10 April 2005);;€1,458,236 (Italy) (13 March 2005);;€495,696 (Italy) (30 January 2005);;€180,890 (Netherlands) (22 August 2004);;THB 258,500 (Thailand) (20 June 2004)	USA::13 June 2004 (Los Angeles, California)
Arnold Schwarzenegger	Terminator 3: Rise of the Machines (2003)	$200,000,000 (estimated);$170,000,000 (estimated)	$150,350,192 (USA) (19 October 2003);;$150,317,213 (USA) (12 October 2003);;$150,252,753 (USA) (5 October 2003);;$150,147,697 (USA) (28 September 2003);;$150,137,697 (USA) (28 September 2003);;$149,891,208 (USA) (21 September 2003);;$149,543,038 (USA) (14 September 2003);;$149,354,165 (USA) (7 September 2003);;$149,093,559 (USA) (31 August 2003);;$148,479,554 (USA) (24 August 2003);;$147,611,218 (USA) (17 August 2003);;$145,987,605 (USA) (10 August 2003);;$142,853,468 (USA) (3 August 2003);;$137,459,813 (USA) (27 July 2003);;$127,893,786 (USA) (20 July 2003);;$110,313,912 (USA) (13 July 2003);;$72,387,461 (USA) (6 July 2003);;$150,371,112 (USA);;£18,789,175 (UK) (21 September 2003);;£18,622,818 (UK) (14 September 2003);;£18,280,787 (UK) (7 September 2003);;£17,669,984 (UK) (31 August 2003);;£16,418,864 (UK) (24 August 2003);;£14,550,687 (UK) (17 August 2003);;£11,399,962 (UK) (10 August 2003);;£6,080,369 (UK) (3 August 2003);;$277,271,324 (Worldwide) (29 December 2003) (except USA);;$433,371,112 (Worldwide) (30 October 2003);;$277,120,358 (Worldwide) (6 October 2003) (except USA);;$283,000,000 (Worldwide) (except USA);;ARS 2,016,286 (Argentina) (29 July 2003);;ARS 1,591,650 (Argentina) (22 July 2003);;ARS 1,081,302 (Argentina) (15 July 2003);;$1,543,372 (Hong Kong) (15 July 2003);;$312,768 (Hong Kong) (13 July 2003);;$1,135,708 (Hong Kong) (13 July 2003);;$224,368 (Hong Kong) (10 July 2003);;INR 102,481,000 (India) (29 August 2003);;INR 99,081,000 (India) (22 August 2003);;INR 92,581,000 (India) (15 August 2003);;INR 80,046,000 (India) (8 August 2003);;INR 52,471,000 (India) (1 August 2003);;€5,433,178 (Italy) (14 December 2003);;€5,431,811 (Italy) (23 November 2003);;€5,429,702 (Italy) (20 November 2003);;ITL 5,428,408 (Italy) (9 November 2003);;€5,428,069 (Italy) (2 November 2003);;€5,405,155 (Italy) (19 October 2003);;€5,310,265 (Italy) (12 October 2003);;€4,110,308 (Italy) (28 September 2003);;€2,107,698 (Italy) (21 September 2003);;$32,780,580 (Japan) (27 July 2003);;$29,007,954 (Japan) (20 July 2003);;$12,359,141 (Japan) (13 July 2003);;€11,573,990 (Spain) (7 September 2003);;€11,322,290 (Spain) (31 August 2003);;€10,716,780 (Spain) (24 August 2003);;€9,688,341 (Spain) (17 August 2003);;€7,960,747 (Spain) (10 August 2003);;€4,779,151 (Spain) (3 August 2003)	USA::30 June 2003 (Westwood, California)
Arnold Schwarzenegger	Terminator 3: Rise of the Machines (2003) (VG)	U	U	USA::25 November 2003
Arnold Schwarzenegger	Collateral Damage (2002)	$85,000,000 (estimated)	$40,048,332 (USA) (28 April 2002);;$39,965,988 (USA) (21 April 2002);;$39,788,168 (USA) (14 April 2002);;$39,612,478 (USA) (7 April 2002);;$39,570,497 (USA) (31 March 2002);;$39,497,841 (USA) (24 March 2002);;$39,357,977 (USA) (17 March 2002);;$38,926,787 (USA) (10 March 2002);;$37,645,739 (USA) (3 March 2002);;$34,601,095 (USA) (24 February 2002);;$29,083,350 (USA) (17 February 2002);;$15,058,432 (USA) (10 February 2002);;£818,630 (UK) (14 April 2002);;£434,639 (UK) (7 April 2002);;$25,900,000 (Worldwide) (except USA);;$55,000,000 (Worldwide) (except USA);;$65,900,000 (Worldwide);;$809,619 (Russia) (4 August 2002);;SGD 1,103,360 (Singapore) (24 February 2002);;€3,148,192 (Spain) (10 August 2002)	USA::4 February 2002
Arnold Schwarzenegger	6th Day, The (2000)	$82,000,000 (estimated)	$34,543,701 (USA) (14 January 2001);;$34,466,675 (USA) (7 January 2001);;$34,317,634 (USA) (1 January 2001);;$34,088,103 (USA) (25 December 2000);;$33,813,823 (USA) (17 December 2000);;$33,001,394 (USA) (10 December 2000);;$30,563,207 (USA) (3 December 2000);;$25,020,012 (USA) (26 November 2000);;$13,020,883 (USA) (19 November 2000);;$34,604,280 (USA);;£1,946,626 (UK) (7 January 2001);;£1,559,814 (UK) (31 December 2000);;£1,135,056 (UK) (24 December 2000);;£586,401 (UK) (17 December 2000);;$96,085,477 (Worldwide);;$61,481,197 (Worldwide) (except USA);;$657,000 (Russia) (30 November 2000);;€4,936,028 (Spain) (10 August 2002);;ESP 809,516,364 (Spain) (30 June 2001)	Japan::28 October 2000 (Tokyo International Film Festival)
Arnold Schwarzenegger	On the 6th Day (2001) (V)	U	U	Spain::24 July 2001 (featured on The 6th Day DVD)
Arnold Schwarzenegger	End of Days (1999)	$83,000,000 (estimated)	$66,862,068 (USA) (5 March 2000);;$66,753,863 (USA) (27 February 2000);;$66,604,558 (USA) (20 February 2000);;$66,369,825 (USA) (13 February 2000);;$66,095,760 (USA) (6 February 2000);;$65,793,555 (USA) (30 January 2000);;$65,517,040 (USA) (23 January 2000);;$65,225,705 (USA) (16 January 2000);;$64,532,605 (USA) (9 January 2000);;$63,185,000 (USA) (2 January 2000);;$60,710,885 (USA) (26 December 1999);;$57,895,205 (USA) (19 December 1999);;$53,269,630 (USA) (12 December 1999);;$45,819,590 (USA) (5 December 1999);;$31,509,775 (USA) (28 November 1999);;£4,609,605 (UK) (16 January 2000);;£4,412,171 (UK) (9 January 2000);;£3,839,036 (UK) (2 January 2000);;£3,036,749 (UK) (26 December 1999);;£2,582,353 (UK) (19 December 1999);;£1,370,017 (UK) (12 December 1999);;$209,300,000 (Worldwide);;SGD 1,890,000 (Singapore) (26 January 2000);;SGD 1,887,000 (Singapore) (19 January 2000);;SGD 1,876,000 (Singapore) (12 January 2000);;SGD 1,839,000 (Singapore) (5 January 2000);;SGD 1,713,000 (Singapore) (29 December 1999);;SGD 1,461,000 (Singapore) (22 December 1999);;SGD 1,052,000 (Singapore) (15 December 1999)	USA::16 November 1999
